,x_1,x_2,label
160,0.39765,1.19326,0
161,1.28425,-0.203386,0
162,0.949523,-2.52259,0
163,0.103572,0.517051,0
164,-0.540579,-1.08241,1
165,-0.633544,-0.754778,1
166,0.727148,0.470508,0
167,-0.460986,-2.33617,1
168,-0.518076,0.0256979,1
169,-0.327296,-1.60357,1
170,-0.280731,-1.17566,1
171,-0.609142,-2.41344,1
172,-0.781193,-1.44254,1
173,1.20509,0.567218,0
174,-0.39431,0.501484,0
175,0.772879,0.0628161,0
176,-0.729522,-1.26859,1
177,-0.000559922,-2.68399,1
178,0.277777,-0.16005,0
179,-0.0766418,-2.20816,1
180,-0.56949,-1.43595,1
181,1.23937,2.49089,0
182,-0.507154,0.785559,1
183,-0.639265,-1.2178,1
184,0.377623,-0.576439,0
185,-0.492599,-0.424073,1
186,-0.651574,-1.03756,1
187,0.671166,2.50672,0
188,0.69473,1.27017,0
189,-0.42683,-0.026631,1
190,1.07166,-1.32062,0
191,-0.669664,-1.24425,1
192,-0.520339,-0.98554,1
193,-0.601504,-1.78891,1
194,0.365042,0.789249,0
195,-0.502229,-0.991376,1
196,-0.590261,-0.800734,1
197,-0.766442,-2.47647,1
198,-0.59922,-1.0561,1
199,-0.552329,-1.13668,1
200,0.114758,1.2194,0
201,-0.599803,-0.983987,1
202,0.935413,0.392062,0
203,-0.234997,-0.846001,1
204,-0.400262,-0.214021,1
205,-0.57311,-0.296431,1
206,0.163438,2.19362,0
207,0.431281,-0.147272,0
208,1.51639,1.71936,0
209,-0.848471,-1.97743,1
210,-0.67131,-2.15619,1
211,0.996871,0.133896,0
212,0.719187,0.142695,0
213,-0.774152,-0.35076,1
214,-0.335936,0.0199614,1
215,0.646548,1.13018,0
216,-0.429437,-1.11458,1
217,-0.454521,-1.76255,1
218,0.412834,0.281831,0
219,0.257245,-1.22184,0
220,-0.394211,-0.815389,1
221,1.49704,0.0448417,0
222,0.813456,0.651989,0
223,-0.548404,0.138696,1
224,1.03926,0.599654,0
225,1.1357,1.27944,0
226,1.68378,1.15604,0
227,-0.604316,-1.88851,1
228,-0.631585,-0.273338,1
229,-0.485083,-1.80782,1
230,-0.575029,-1.91965,1
231,-0.489685,-0.349543,1
232,-0.743588,-1.22872,1
233,-0.312652,0.0592458,1
234,-0.391338,-0.670718,1
235,0.171909,1.0312,0
236,0.235032,-0.0999434,0
237,-0.454884,0.041859,1
238,0.75525,2.03587,0
239,-0.44488,0.076287,1
240,0.552386,-0.909421,0
241,-0.130082,-1.16062,1
242,1.11455,0.378983,0
243,-0.659884,-0.819409,1
244,-0.578478,-3.28461,1
245,1.48329,1.10255,0
246,-0.658457,-1.3987,1
247,-0.701366,0.261183,1
248,0.978708,-0.714612,0
249,-0.629436,-0.645815,1
250,0.293589,1.36702,0
251,0.494597,-0.930632,0
252,-0.72796,-0.411282,1
253,0.889962,0.15185,0
254,-0.297302,0.373722,0
255,0.518202,0.731481,0
256,-0.489809,-2.34567,1
257,-0.377782,-0.772507,0
258,-0.528716,-1.28652,1
259,0.423853,-0.271189,0
260,-0.63746,-1.08811,1
261,-0.589633,-1.487,1
262,-0.263724,-1.47393,1
263,1.32617,1.32962,0
264,0.0967366,1.90813,0
265,1.17896,1.3911,0
266,0.167425,1.15083,0
267,-0.171535,-0.227974,0
268,-0.498274,-0.604747,1
269,1.30014,1.54802,0
270,-0.683601,-0.810628,1
271,-0.219731,-1.30779,1
272,0.595443,0.0165333,0
273,1.01164,0.0784537,0
274,0.715879,1.96334,0
275,1.94157,1.19448,0
276,0.820977,-0.0693284,0
277,-0.49388,-1.05223,1
278,0.530405,0.431338,0
279,-0.514934,-0.805963,1
280,-0.492047,-2.17525,1
281,0.548412,1.47245,0
282,1.01053,-0.325788,0
283,0.406081,-0.964077,0
284,0.838713,-0.151781,0
285,-0.269163,-0.870622,1
286,1.17082,0.00054142,0
287,1.01195,0.338422,0
288,-0.792347,-1.51258,1
289,-0.418717,-1.14488,1
290,-0.610862,-1.35298,1
291,0.573003,-1.12495,0
292,0.176266,-0.18782,0
293,1.15726,0.308926,0
294,0.319387,2.16006,0
295,-0.490973,0.754719,1
296,-0.47697,-1.28436,1
297,-0.311816,-0.696097,1
298,-0.436568,-0.60997,1
299,1.18222,-0.492165,0
300,-0.0203985,0.313262,0
301,1.22504,0.0986428,0
302,-0.574141,-1.70921,1
303,-0.234708,-1.72345,1
304,0.55756,0.344352,0
305,0.565409,0.0106208,0
306,-0.670346,0.367043,1
307,-0.555287,-1.19468,1
308,0.604081,-0.511492,0
309,1.68378,-0.727278,0
310,1.36515,1.45238,0
311,0.84965,0.199396,0
312,0.450673,-0.865897,0
313,0.594557,0.3474,0
314,-0.217766,-0.410647,1
315,-0.544521,-1.68481,1
316,0.928183,0.956573,0
317,-0.543908,-1.81303,1
318,-0.307861,-0.00320287,1
319,1.57407,0.414228,0
320,0.367928,-1.18779,0
321,0.451342,0.0120783,0
322,-0.348921,-0.349444,1
323,0.576044,0.406349,0
324,-0.398552,-1.08717,1
325,0.465344,0.519904,0
326,-0.403777,1.06952,1
327,1.61636,0.934501,0
328,0.314601,-0.32885,0
329,0.435956,-0.231027,0
330,1.29983,0.905264,0
331,1.18792,0.134893,0
332,0.532423,2.09926,0
333,-0.57232,-0.201561,1
334,-0.31272,-1.39423,1
335,0.515568,-1.95144,0
336,0.428191,-1.9734,0
337,-0.377615,-2.00612,1
338,-0.181446,-1.19393,1
339,-0.438334,-2.03356,1
340,0.0379695,-0.24332,0
341,0.612165,-0.459728,0
342,0.529539,-0.0303555,0
343,-0.810086,-0.687011,1
344,0.387201,-1.13336,0
345,-0.443144,0.307002,1
346,0.41377,-0.109553,0
347,0.74149,0.629152,0
348,0.272027,-0.0959818,0
349,-0.663499,-2.05101,1
350,1.22471,0.337551,0
351,-0.900843,-0.717343,1
352,1.31332,-0.829932,0
353,-0.452083,-1.27735,1
354,-1.01656,-1.86546,1
355,0.822022,1.70427,0
356,-0.633543,0.261441,1
357,-0.435026,-0.252162,1
358,-0.889141,-1.68459,1
359,-0.771956,-1.03105,1
360,-0.54339,-0.665955,1
361,-0.242803,-2.13025,1
362,-0.429048,-0.537335,1
363,-0.784384,0.498467,1
364,-0.495788,-0.925409,1
365,-0.40462,-0.888663,1
366,-0.293912,-2.53549,1
367,0.550275,0.620056,0
368,1.08319,-0.21072,0
369,0.783259,0.552472,0
370,1.3143,0.746001,0
371,-0.759737,-0.0429435,1
372,0.68356,-0.0477909,0
373,0.774747,0.743837,0
374,0.899119,1.57639,0
